 ,Area,Min,Max,X,Y,Major,Minor,Angle,IntDen,RawIntDen,Ch,Slice
1,0.138,3042,9738,1.371,0.328,0.437,0.401,175.903,846.248,2115620.000,1,1
2,0.052,3273,6633,2.454,0.239,0.314,0.212,0.997,260.418,651046.000,1,1
3,0.252,3594,14679,1.723,0.884,0.614,0.522,87.198,1947.311,4868278.000,1,1
4,0.206,3771,10662,4.656,1.165,0.558,0.469,89.836,1345.955,3364888.000,1,1
5,0.262,3785,14312,0.851,2.955,0.643,0.519,82.531,2004.767,5011918.000,1,1
6,0.241,3681,13235,6.606,3.140,0.612,0.502,84.749,1762.224,4405561.000,1,1
7,0.251,3807,14058,5.421,4.064,0.635,0.504,91.416,1916.696,4791740.000,1,1
8,0.224,3732,11704,3.099,4.382,0.584,0.488,90.169,1538.797,3846992.000,1,1
9,0.239,3771,12792,3.018,6.558,0.617,0.493,89.337,1738.024,4345061.000,1,1
10,0.250,3634,13082,4.472,7.718,0.624,0.511,88.103,1833.588,4583970.000,1,1
11,0.248,3744,12767,1.778,8.233,0.632,0.500,88.729,1794.872,4487181.000,1,1
12,0.052,222,571,1.294,0.242,0.298,0.222,1.180,20.246,50616.000,2,1
13,0.144,221,1071,1.639,0.805,0.445,0.411,7.470,81.310,203275.000,2,1
14,0.139,227,1053,4.586,1.082,0.430,0.411,165.329,77.413,193533.000,2,1
15,0.132,240,889,0.766,2.890,0.433,0.388,10.126,68.448,171120.000,2,1
16,0.134,216,1022,6.540,3.068,0.423,0.404,52.401,74.024,185060.000,2,1
17,0.136,210,1006,5.345,3.985,0.427,0.407,154.937,74.350,185874.000,2,1
18,0.143,231,1090,3.020,4.313,0.441,0.412,117.245,81.392,203480.000,2,1
19,0.142,232,1023,2.942,6.489,0.437,0.415,121.031,78.426,196064.000,2,1
20,0.134,237,1002,4.396,7.655,0.422,0.403,2.626,73.129,182822.000,2,1
21,0.138,227,938,1.692,8.178,0.428,0.411,17.920,73.045,182612.000,2,1
22,0.029,573,1323,1.329,0.233,0.229,0.162,177.664,28.138,70346.000,3,1
23,0.108,615,3087,1.689,0.806,0.392,0.352,75.721,169.002,422504.000,3,1
24,0.105,538,2967,4.631,1.084,0.377,0.355,95.127,160.792,401981.000,3,1
25,0.108,554,2911,0.804,2.882,0.377,0.366,150.870,165.347,413367.000,3,1
26,0.094,595,2590,6.580,3.082,0.369,0.325,70.611,131.836,329589.000,3,1
27,0.103,639,2753,5.393,4.009,0.391,0.336,106.500,149.294,373235.000,3,1
28,0.116,576,3222,3.063,4.320,0.411,0.359,91.405,185.134,462835.000,3,1
29,0.101,655,2626,2.982,6.489,0.377,0.341,92.086,144.762,361905.000,3,1
30,0.096,594,2476,4.427,7.660,0.367,0.335,97.535,132.769,331923.000,3,1
31,0.091,590,2230,1.729,8.181,0.342,0.338,144.455,118.590,296474.000,3,1
32,0.066,3798,8981,2.473,0.251,0.343,0.246,177.550,414.677,1036692.000,1,2
33,0.122,3855,10758,1.383,0.336,0.422,0.368,157.243,865.046,2162616.000,1,2
34,0.211,3444,15144,1.723,0.937,0.567,0.474,108.116,1882.319,4705797.000,1,2
35,0.150,3579,10582,4.664,1.211,0.476,0.401,106.122,1058.669,2646672.000,1,2
36,0.218,3444,15145,0.861,3.006,0.569,0.489,102.018,1952.951,4882378.000,1,2
37,0.195,3501,14237,6.615,3.189,0.549,0.453,99.676,1596.937,3992342.000,1,2
38,0.209,3531,15144,5.430,4.108,0.569,0.468,107.801,1872.483,4681207.000,1,2
39,0.173,3674,12257,3.108,4.423,0.512,0.430,103.087,1320.426,3301065.000,1,2
40,0.196,3839,13915,3.013,6.618,0.554,0.451,109.632,1600.066,4000164.000,1,2
41,0.198,4205,14200,4.467,7.759,0.560,0.450,106.326,1640.706,4101764.000,1,2
42,0.201,3794,14320,1.773,8.277,0.553,0.463,106.245,1666.378,4165946.000,1,2
43,0.067,209,715,1.302,0.255,0.340,0.250,177.728,29.155,72887.000,2,2
44,0.144,204,1083,1.650,0.842,0.438,0.419,179.929,82.154,205384.000,2,2
45,0.136,208,1057,4.599,1.123,0.422,0.412,95.758,76.395,190988.000,2,2
46,0.129,210,921,0.782,2.935,0.434,0.379,14.052,67.722,169304.000,2,2
47,0.133,205,1017,6.561,3.111,0.422,0.400,27.136,73.212,183030.000,2,2
48,0.132,204,1004,5.370,4.025,0.431,0.390,161.495,71.949,179872.000,2,2
49,0.141,165,1102,3.037,4.346,0.428,0.419,137.839,79.984,199961.000,2,2
50,0.142,225,1070,2.943,6.537,0.447,0.403,112.946,79.223,198057.000,2,2
51,0.136,230,1004,4.407,7.692,0.417,0.414,39.652,73.398,183494.000,2,2
52,0.135,190,968,1.700,8.218,0.423,0.406,33.972,71.430,178574.000,2,2
53,0.042,587,1620,1.339,0.244,0.258,0.207,2.627,46.174,115434.000,3,2
54,0.107,553,3087,1.697,0.846,0.385,0.354,75.524,167.719,419297.000,3,2
55,0.104,486,3013,4.642,1.125,0.373,0.354,86.242,157.028,392569.000,3,2
56,0.110,477,2968,0.824,2.921,0.378,0.372,109.316,168.312,420781.000,3,2
57,0.096,442,2587,6.599,3.121,0.376,0.324,76.960,132.936,332341.000,3,2
58,0.102,506,2776,5.414,4.041,0.383,0.338,105.326,148.034,370085.000,3,2
59,0.113,519,3263,3.081,4.351,0.399,0.362,79.033,183.806,459515.000,3,2
60,0.101,545,2678,2.976,6.541,0.373,0.344,81.245,147.780,369449.000,3,2
61,0.092,632,2518,4.438,7.696,0.354,0.331,89.280,129.459,323647.000,3,2
62,0.088,614,2307,1.730,8.206,0.339,0.332,148.053,116.649,291622.000,3,2
63,0.091,4030,13330,2.469,0.210,0.411,0.281,172.771,755.514,1888786.000,1,3
64,0.131,4500,13581,1.377,0.308,0.442,0.377,155.643,1137.362,2843406.000,1,3
65,0.204,4152,15147,1.717,0.928,0.540,0.482,124.223,2109.029,5272572.000,1,3
66,0.151,4966,13843,4.652,1.216,0.473,0.406,126.230,1331.241,3328102.000,1,3
67,0.215,4326,15146,0.852,3.006,0.557,0.491,127.940,2274.513,5686282.000,1,3
68,0.181,4128,15142,6.604,3.193,0.507,0.455,109.924,1734.491,4336228.000,1,3
69,0.204,4314,15144,5.422,4.112,0.556,0.468,120.805,2108.176,5270440.000,1,3
70,0.169,3946,15142,3.106,4.432,0.494,0.436,130.180,1591.452,3978629.000,1,3
71,0.185,4475,15146,3.032,6.607,0.527,0.447,122.737,1804.008,4510020.000,1,3
72,0.188,4268,15147,4.471,7.752,0.537,0.445,122.535,1846.195,4615488.000,1,3
73,0.195,4445,15146,1.783,8.273,0.531,0.467,125.174,1939.664,4849161.000,1,3
74,0.085,201,830,1.311,0.228,0.393,0.276,179.054,41.020,102549.000,2,3
75,0.006,280,362,2.390,0.150,0.113,0.068,0.000,1.951,4877.000,2,3
76,0.143,210,1089,1.652,0.834,0.438,0.415,15.368,80.731,201827.000,2,3
77,0.137,223,1043,4.601,1.111,0.424,0.412,77.336,75.682,189205.000,2,3
78,0.134,233,915,0.783,2.919,0.427,0.400,23.254,69.233,173082.000,2,3
79,0.138,191,1024,6.561,3.097,0.429,0.408,72.708,75.714,189285.000,2,3
80,0.132,215,998,5.368,4.017,0.429,0.393,166.285,73.234,183086.000,2,3
81,0.138,203,1078,3.045,4.343,0.425,0.413,172.790,78.608,196519.000,2,3
82,0.138,199,1073,2.966,6.520,0.428,0.411,148.856,77.769,194422.000,2,3
83,0.134,231,1006,4.421,7.678,0.415,0.410,32.774,72.781,181952.000,2,3
84,0.134,221,950,1.717,8.191,0.420,0.405,16.551,71.133,177833.000,2,3
85,0.058,581,1986,1.342,0.219,0.293,0.252,2.802,70.952,177379.000,3,3
86,0.108,512,3097,1.702,0.831,0.388,0.355,73.889,167.954,419884.000,3,3
87,0.104,520,3002,4.644,1.119,0.378,0.352,91.558,158.403,396008.000,3,3
88,0.110,576,2958,0.820,2.913,0.385,0.364,121.858,166.529,416323.000,3,3
89,0.096,531,2569,6.600,3.107,0.370,0.331,73.316,136.091,340227.000,3,3
90,0.102,580,2760,5.420,4.038,0.395,0.328,105.166,150.655,376638.000,3,3
91,0.110,480,3210,3.087,4.353,0.398,0.352,83.003,177.172,442929.000,3,3
92,0.103,564,2690,3.008,6.522,0.372,0.352,77.869,148.360,370900.000,3,3
93,0.092,627,2514,4.456,7.685,0.353,0.334,94.420,129.950,324876.000,3,3
94,0.088,662,2262,1.746,8.199,0.337,0.333,130.817,117.178,292945.000,3,3
95,0.090,3784,13887,2.486,0.217,0.414,0.278,175.063,778.848,1947119.000,1,4
96,0.148,4378,15142,1.398,0.318,0.483,0.389,168.421,1400.866,3502166.000,1,4
97,0.222,4296,15147,1.737,0.941,0.550,0.513,141.190,2396.949,5992372.000,1,4
98,0.187,5055,15144,4.664,1.223,0.512,0.466,138.559,1899.164,4747909.000,1,4
99,0.238,4614,15144,0.861,3.037,0.578,0.525,153.403,2646.800,6617000.000,1,4
100,0.190,4298,15144,6.612,3.206,0.508,0.475,136.484,1902.204,4755509.000,1,4
101,0.224,4526,15144,5.431,4.129,0.571,0.499,134.830,2406.730,6016826.000,1,4
102,0.198,4668,15145,3.115,4.451,0.521,0.484,141.695,2050.271,5125678.000,1,4
103,0.204,4730,15146,3.031,6.629,0.538,0.484,136.691,2134.288,5335720.000,1,4
104,0.206,4770,15144,4.482,7.762,0.549,0.478,144.191,2174.124,5435310.000,1,4
105,0.216,4548,15146,1.799,8.283,0.554,0.497,141.556,2317.720,5794300.000,1,4
106,0.078,204,781,1.326,0.231,0.363,0.272,178.130,35.290,88225.000,2,4
107,0.146,218,1085,1.673,0.826,0.436,0.427,117.446,82.850,207126.000,2,4
108,0.138,211,1054,4.622,1.114,0.425,0.413,117.629,77.463,193657.000,2,4
109,0.136,238,928,0.794,2.935,0.429,0.404,24.419,71.713,179283.000,2,4
110,0.142,155,1044,6.576,3.107,0.438,0.414,69.953,78.810,197024.000,2,4
111,0.138,251,1027,5.388,4.026,0.433,0.407,136.995,76.046,190116.000,2,4
112,0.140,229,1095,3.064,4.353,0.425,0.419,122.244,80.162,200405.000,2,4
113,0.139,228,1073,2.974,6.535,0.430,0.411,146.453,78.739,196848.000,2,4
114,0.132,250,989,4.439,7.680,0.414,0.407,153.868,72.416,181039.000,2,4
115,0.135,242,960,1.737,8.192,0.425,0.405,7.178,72.012,180029.000,2,4
116,0.049,590,1790,1.365,0.220,0.290,0.216,179.309,56.168,140421.000,3,4
117,0.110,561,3116,1.719,0.828,0.393,0.355,78.861,171.472,428680.000,3,4
118,0.105,621,2992,4.664,1.112,0.376,0.355,86.913,160.951,402377.000,3,4
119,0.110,585,2954,0.838,2.922,0.382,0.367,108.613,169.616,424040.000,3,4
120,0.094,477,2635,6.617,3.118,0.366,0.327,71.294,135.345,338362.000,3,4
121,0.105,646,2754,5.435,4.048,0.397,0.336,104.932,154.767,386917.000,3,4
122,0.113,585,3245,3.102,4.363,0.398,0.362,82.409,182.916,457291.000,3,4
123,0.103,630,2717,3.011,6.537,0.376,0.348,86.816,150.382,375955.000,3,4
124,0.092,630,2490,4.469,7.687,0.346,0.339,95.074,127.948,319870.000,3,4
125,0.086,684,2253,1.768,8.195,0.340,0.324,171.097,115.598,288995.000,3,4
126,0.108,4044,14899,2.492,0.232,0.473,0.291,178.169,969.317,2423293.000,1,5
127,0.176,4211,15145,1.414,0.332,0.536,0.418,176.258,1737.549,4343873.000,1,5
128,0.242,4694,15146,1.758,0.950,0.580,0.532,172.769,2660.455,6651138.000,1,5
129,0.222,4829,15143,4.684,1.246,0.551,0.514,166.688,2372.973,5932432.000,1,5
130,0.258,4751,15144,0.880,3.055,0.603,0.544,176.098,2869.562,7173905.000,1,5
131,0.209,4770,15142,6.631,3.224,0.538,0.494,174.653,2108.084,5270210.000,1,5
132,0.234,4835,15144,5.455,4.129,0.578,0.516,158.911,2516.892,6292230.000,1,5
133,0.227,4747,15144,3.139,4.444,0.562,0.514,178.301,2423.931,6059827.000,1,5
134,0.232,4947,15145,3.048,6.622,0.562,0.526,155.852,2467.770,6169426.000,1,5
135,0.230,4800,15145,4.500,7.768,0.577,0.509,162.745,2445.277,6113193.000,1,5
136,0.248,4604,15146,1.819,8.286,0.580,0.543,161.185,2683.853,6709632.000,1,5
137,0.080,219,754,1.350,0.242,0.375,0.273,179.078,37.013,92532.000,2,5
138,0.151,204,1105,1.696,0.828,0.448,0.429,78.003,86.237,215593.000,2,5
139,0.142,234,1078,4.641,1.122,0.433,0.417,95.447,81.096,202739.000,2,5
140,0.135,259,960,0.814,2.939,0.432,0.398,21.726,72.296,180741.000,2,5
141,0.139,237,1059,6.593,3.116,0.429,0.412,10.377,77.627,194068.000,2,5
142,0.137,252,1013,5.412,4.015,0.435,0.402,147.021,75.579,188947.000,2,5
143,0.140,233,1077,3.086,4.337,0.430,0.415,172.653,80.521,201302.000,2,5
144,0.144,248,1073,2.988,6.512,0.435,0.422,117.793,81.485,203712.000,2,5
145,0.132,254,1025,4.456,7.671,0.422,0.398,171.042,73.578,183944.000,2,5
146,0.138,260,942,1.762,8.182,0.425,0.415,10.291,73.979,184947.000,2,5
147,0.052,564,1796,1.385,0.227,0.286,0.232,4.215,59.932,149830.000,3,5
148,0.110,645,3090,1.741,0.832,0.393,0.357,69.725,173.153,432883.000,3,5
149,0.106,582,3015,4.686,1.123,0.387,0.349,86.448,165.026,412565.000,3,5
150,0.111,605,2956,0.858,2.927,0.382,0.371,112.675,168.883,422208.000,3,5
151,0.096,616,2623,6.633,3.127,0.365,0.334,74.681,135.552,338881.000,3,5
152,0.100,672,2753,5.460,4.039,0.385,0.332,106.513,149.614,374034.000,3,5
153,0.113,611,3265,3.125,4.345,0.403,0.358,80.193,184.144,460359.000,3,5
154,0.102,670,2734,3.028,6.516,0.378,0.345,76.789,150.423,376058.000,3,5
155,0.093,654,2515,4.486,7.677,0.362,0.326,101.373,129.211,323027.000,3,5
156,0.091,682,2245,1.793,8.183,0.348,0.332,163.280,119.926,299816.000,3,5
157,0.130,4605,15132,2.502,0.214,0.497,0.333,2.092,1281.673,3204182.000,1,6
158,0.192,5000,15142,1.431,0.322,0.542,0.450,4.127,2006.134,5015336.000,1,6
159,0.244,5272,15144,1.778,0.971,0.581,0.535,25.985,2712.913,6782283.000,1,6
